id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
597698,Rental unit in Zebbug · ★4.59 · 2 bedrooms · 1 bed · 1 bath,2792542,Dolphin Gozo Rentals,Zebbug (Ghawdex),36.07265,14.25445,Entire home/apt,70,4,30,9,232,2
632404,Rental unit in Zebbug · ★4.58 · 2 bedrooms · 3 beds · 1 bath,2792542,Dolphin Gozo Rentals,Zebbug (Ghawdex),36.07307,14.25585,Entire home/apt,95,3,19,9,243,0
636983,Rental unit in St Paul's Bay · ★4.73 · 1 bedroom · 1 bed · 1 bath,3176303,Ron,San Pawl il-Bahar,35.95136,14.40972,Entire home/apt,56,4,187,3,215,19
637763,Home in Sliema · ★4.69 · 4 bedrooms · 7 beds · 3 baths,1875042,Stefania,Sliema,35.91083,14.49955,Entire home/apt,343,2,149,1,81,11
648361,Home in San Ġwann · ★4.67 · 1 bedroom · 2 beds · 2 shared baths,3241207,Graziella,San Gwann,35.90977,14.4741,Private room,30,3,10,1,364,5
650508,Rental unit in St Julian's · ★4.55 · 3 bedrooms · 9 beds · 2 baths,1419619,GetawaysMalta,San Giljan,35.91724,14.4932,Entire home/apt,402,3,30,40,111,1
660239,Rental unit in Valletta · ★4.50 · 2 bedrooms · 2 beds · 1 bath,3332135,Lara,Valletta,35.90051,14.51482,Entire home/apt,70,1,467,1,291,54
671869,Rental unit in St Paul's Bay · ★4.70 · 1 bedroom · 1 bed · 1 bath,3176303,Ron,San Pawl il-Bahar,35.94855,14.40815,Entire home/apt,65,4,172,3,145,26
677023,Rental unit in Tas-Sliema · ★4.77 · 2 bedrooms · 2 beds · 1 bath,1807583,Mark,Sliema,35.91344,14.49604,Entire home/apt,90,2,122,2,338,12
694797,Rental unit in Tas-Sliema · ★4.25 · 1 bedroom · 1 bed · 1 bath,1774894,ShortLets,Sliema,35.90931,14.50278,Entire home/apt,36,4,16,61,296,2
699199,Rental unit in Tal-Pietà · ★4.55 · 3 bedrooms · 3 beds · 2 baths,3585451,Franco,Pieta,35.89636,14.49317,Entire home/apt,114,3,255,7,280,23
706608,Rental unit in Marsalforn · ★4.50 · 3 bedrooms · 4 beds · 2 baths,1207379,Öyfrid,Zebbug (Ghawdex),36.07945,14.24952,Entire home/apt,60,5,111,3,306,17
718401,Villa in Malta · ★4.46 · 3 bedrooms · 6 beds · 2 baths,14439099,Mary,Zebbug (Ghawdex),36.06786,14.23269,Entire home/apt,110,5,13,3,357,0
723075,"Rental unit in Valletta, Malta · ★4.75 · 1 bedroom · 2 beds · 1 bath",5221932,Christiano,Valletta,35.89767,14.51505,Entire home/apt,179,3,48,16,187,23
723533,"Rental unit in Valletta, Malta · ★4.76 · 1 bedroom · 1 bed · 1 bath",5221932,Christiano,Valletta,35.89860153198242,14.51602840423584,Entire home/apt,159,3,38,16,245,16
757581,Townhouse in Mdina · ★4.90 · 1 bedroom · 1 bed · 1 private bath,3987056,Antonio,Mdina,35.88469,14.40374,Private room,70,2,291,1,343,19
763585,Rental unit in Marsaskala · ★4.71 · 1 bedroom · 1 bath,4020855,George,Marsascala,35.86676,14.55922,Entire home/apt,65,3,42,7,302,7
763601,Rental unit in Marsaskala · ★4.75 · 3 bedrooms · 4 beds · 2 baths,4020855,George,Marsascala,35.86689,14.56084,Entire home/apt,72,3,28,7,109,0
764521,Villa in Rabat · ★4.55 · 1 bedroom · 1 bed,4026290,Aldo,Rabat (Malta),35.89359,14.3438,Private room,45,1,53,2,364,12
770174,Villa in St Julian's · 1 bedroom · 1 bed · 1 private bath,3748694,Boho,San Gwann,35.90948,14.48717,Private room,75,2,2,12,365,0
775686,Rental unit in Valletta · ★4.54 · 1 bedroom · 1 bed · 1 bath,4091660,Michael,Valletta,35.89751,14.51568,Entire home/apt,100,2,174,2,342,19
786888,Home in Ħ'Attard · ★3.33 · 1 bedroom · 2 beds · 1 shared bath,3169799,Jj,Attard,35.89227,14.44076,Private room,35,2,3,7,0,0
